,Age,G,GS,MP,3PAr,FTr,AST%,STL%,BLK%,TOV%,USG%,WS/48,VORP,3P%,2P%,FTA,FT%,AST,STL,BLK,TOV,Popularity,C,PPG,Allstar
205,25,73,54,2012,0.267,0.196,9.6,1.7,1.3,7.9,20.5,0.159,1.9,0.444,0.469,157,0.796,117,68,36,75,475,0,13.18,0
206,20,59,59,2048,0.261,0.271,32.7,2.3,0.8,13.8,30.2,0.125,2.8,0.391,0.474,290,0.855,350,89,21,191,323,0,22.46,1
207,31,53,5,698,0.611,0.111,6.7,1.7,0.3,11.7,11.3,0.066,-0.1,0.42,0.446,16,0.563,32,23,3,20,470,0,3.21,0
208,29,79,4,2349,0.237,0.231,29.9,1.3,0.4,14.3,21,0.115,1,0.404,0.466,198,0.843,439,60,11,157,913,0,12.95,0
209,22,70,0,993,0.32,0.191,19.3,1.5,1,13.1,18.6,0.121,0.3,0.231,0.566,62,0.839,122,29,13,53,444,0,5.34,0
210,34,55,6,1075,0.515,0.212,10.7,1.8,0.9,17.6,18.7,0.013,-0.1,0.271,0.481,70,0.7,80,37,14,77,1440,0,6.2,0
211,27,46,11,457,0.019,0.398,1.9,1.3,6.5,12.9,13.9,0.125,0.1,0,0.525,41,0.61,6,12,38,18,2352,1,2.85,0
213,28,76,76,2877,0.188,0.395,36.4,2.4,1.9,12.4,30.2,0.322,9.8,0.406,0.602,535,0.753,551,129,67,226,439,0,26.79,1
214,37,45,23,862,0.461,0.107,23.7,1.5,0.3,16.2,17.9,0.024,-0.3,0.384,0.363,29,0.793,139,26,3,55,1056,0,6.07,0
215,36,76,6,1636,0.405,0.237,5,0.9,1,7.7,18.7,0.126,0.4,0.361,0.535,136,0.691,50,30,22,53,1676,0,9.37,0
216,28,78,78,2578,0.014,0.176,12,1.6,2.7,7.3,25.3,0.143,2.2,0.118,0.5,217,0.77,164,80,89,105,1136,1,17.83,0
